#ID,ID_strumento,Azione,NumeroValore,Borsa,Domestico,Eliminazione,Ticker,BenchmarkVAR,Strike,NumeroValoreSottostante,Maturity,Tipo,Posizione,Ratio,ISIN,rowguid
274,14,UBS EF ITALY,278868EU,MIBEU,1,0,278868EU,930.MII,,,,Azioni,,,,C7FDD7F6-714D-4C7F-92AF-39B93FBE4854
1058,14,UBS EF ASIA,278870US,NYSE,1,0,278870US,,,,,Azioni,,,CH0002788708,8C70769D-12B6-42F7-8625-FC79426C60E9
1119,14,CS EF Swiss Blue Chips,278890CH,ZH,1,0,278890CH,SMI.S,,,,Azioni,,,CH0002788906,39C6A360-B62E-4F60-9287-37C2C922A8CF
1099,14,CS EF Prime 50 Europe,278925EU,DAXEU,1,0,278925EU,SX5P.STX,,,,Azioni,,,CH0002789250,2AE2868D-6A2E-455F-805F-2B8A82BED072
1584,1,Onda Asia,279152,ZH,0,0,palace26,,,,,Azioni,,,,F9CE2A1F-7B14-4351-9F1D-3254932F9568
278,14,UBS EF Switzerland,279176CH,ZH,1,0,279176CH,SMI.S,,,,Azioni,,,,EF7F60F1-A6D7-446E-BEB0-6E6B75097087
22,14,UBS EF Fund Germany,279182EU,DAXEU,1,0,279182EU,DAX.XE,,,,Azioni,,,CH0002791827,750CFC50-6016-4B47-9073-E6E593CE1BC4
1476,14,UBS Strategy Fund Yield CHF,279211CH,ZH,0,0,CH0002792114CHF.SUF,,,,,Azioni,,,CH0002792114,FD78F30C-8B62-4597-B0B8-EC9163DD1C4D
24,14,CS EF Swissac,279375CH,ZH,1,0,279375CH,,,,,Azioni,,,,78F30BF1-3701-4771-AFC9-B66A9CF0ACA3
1794,1,FR 20 Schweiz Vreneli,281383CH,ZH,0,0,281383CH,,,,,Azioni,,,CH0002813837,75553459-F411-43A8-9DB3-B5FB97C69F5E
1717,1,South Africa Kruegerrand monete,281624,NYSE,0,0,bianchi8,,,,,Azioni,,,,8AFD45D2-3849-4878-B748-417951A86581
281,14,Asian Tigers Equity Fund ABN,284726US,NASDAQ,0,0,Asian Tigers Equity,,,,,Azioni,,,,4EE93E36-2022-4B2A-A6AE-61873B949C62
1802,14,Global Property Invest Nts Star Compass 08.12.2016,2859849CH,ZH,0,0,2859849CH,,,,,Azioni,,,,3038B85C-E1CA-442F-B732-AE0448C1AF21
